类别,物料,规格/建议,数量,用途/备注
打印材料,PETG/ASA,1.75 mm,约1.5 kg,底板/托盘/桅杆；户外优先 ASA
打印材料,PETG-CF或尼龙,1.75 mm,约0.8 kg,四个悬挂摆臂和塔架
打印材料,TPU,95A,约0.1 kg,防滑脚垫/线束护套/弹性座
金属结构,铝扁条或2020型材,20×3 mm或2020×250 mm,2,底板中心接缝加强
紧固件,M4螺栓,ISO 7380或内六角 M4×20,24,塔架/托盘/桅杆安装
紧固件,M4螺栓,M4×12,16,电子托盘和线夹
紧固件,M4尼龙锁紧螺母,尼龙防松,40,户外防松
紧固件,M4垫片,不锈钢,80,分散打印件受力
紧固件,M5螺栓,M5×30,6,左右底板连接
紧固件,M5尼龙锁紧螺母,尼龙防松,6,左右底板连接
轴系,8 mm光轴或肩螺栓,8 mm直径、长度 50--70 mm,8,四个摆臂枢轴和轮轴
轴系,8 mm法兰轴承,例如 F608ZZ/8 mm内径,8,摆臂枢轴和轮毂减摩
轴系,6 mm螺栓,M6×40或按避震眼孔,8,避震器上下连接
悬挂,RC油压避震,100--120 mm孔距、弹簧可调,4,四轮独立悬挂
车轮,橡胶轮,100--110 mm、8 mm轴孔,4,建议带滚针/轴承
轮毂,轮毂适配器,与车轮孔距匹配,4,可购买金属件替代打印轮毂
驱动,12 V减速电机,100--150 W、带编码器,4,如需要四轮驱动；非驱动版可选从动轮轴
驱动,电机驱动器,双路或四路、12 V、持续电流按电机选,2或1,不接 ESP32 继电器输出
电源,12 V锂电池,20--30 Ah并带BMS,1,车辆电源
电源,总保险,30--40 A汽车保险座,1,靠近电池正极
电源,支路保险,5 A/10 A保险座,2,逻辑电源和电机电源分路
电源,急停开关,常闭蘑菇头、直流额定,1,切断泵/电机主电源
电源,DC-DC降压模块,12 V转5 V、3 A以上,1,给RK3506B/ESP32/USB Hub
电源,防水接线盒,IP65以上、约200×150×100 mm,1,装控制板和端子
电源,防水电缆接头,M12/M16/M20,8--12,传感器/电机/泵线出线
控制,RK3506B触控主机,现有设备,1,采集/联网/显示
控制,ESP32-S3控制板,现有设备,1,继电器和泵控制
控制,USB Hub,带独立5 V供电,1,同时连接USB-RS485和ESP32
控制,四路继电器模块,5 V逻辑、高电平触发,1,三路肥泵+混合罐出口泵
传感器,USB-RS485模块,3.3 V/5 V兼容,1,现有传感器总线
线束,RS485双绞屏蔽线,120 ohm,按现场长度,与泵线分开布线
线束,硅胶电线,0.5/1.5/2.5 mm²,按现场长度,逻辑/继电器/电机分级
线束,编织网管/波纹管,10--20 mm,按现场长度,保护悬挂活动线束
辅料,热熔铜螺母,M4/M5,各20,打印件反复拆装推荐
辅料,螺纹锁固剂,中强度,1,金属轴和轮毂螺纹
辅料,硅胶减震垫,2--3 mm,若干,RK3506B/电池隔振
辅料,尼龙绑带,20 mm宽,4,固定电池和防水盒
